No,Fields Name,Path,Type,Deskripsi,Status
406,online,ISAPI,XML Field,Technical parameter,FALSE
407,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
408,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
409,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
410,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
411,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
412,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
413,id,ISAPI,XML Field,Technical parameter,FALSE
414,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
415,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
416,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
417,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
418,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
419,userName,ISAPI,XML Field,Technical parameter,FALSE
420,streamType,ISAPI,XML Field,Technical parameter,FALSE
421,online,ISAPI,XML Field,Technical parameter,FALSE
422,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
423,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
424,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
425,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
426,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
427,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
428,id,ISAPI,XML Field,Technical parameter,FALSE
429,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
430,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
431,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
432,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
433,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
434,userName,ISAPI,XML Field,Technical parameter,FALSE
435,streamType,ISAPI,XML Field,Technical parameter,FALSE
436,online,ISAPI,XML Field,Technical parameter,FALSE
437,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
